Date_Time,air_temp_set_1,air_temp_set_2,relative_humidity_set_1,wind_speed_set_1,precip_accum_fifteen_minute_set_1,solar_radiation_set_1
,,Fahrenheit,Fahrenheit,%,Miles/hour,Inches,W/m**2
01/01/2014 22:00 PST,57.34,57.87,29.29,0.0,0.0,0.0
01/01/2014 22:15 PST,56.44,57.69,29.87,0.0,0.0,0.0
01/01/2014 22:30 PST,56.23,57.36,30.42,0.0,0.0,0.0
01/01/2014 22:45 PST,56.26,58.14,31.14,0.0,0.0,0.0
01/01/2014 23:00 PST,57.24,58.5,30.08,0.0,0.0,0.0
01/01/2014 23:15 PST,57.43,58.66,30.39,0.0,0.0,0.0
01/01/2014 23:30 PST,58.08,59.29,28.79,0.0,0.0,0.0
01/01/2014 23:45 PST,58.42,58.8,29.85,0.0,0.0,0.0
01/02/2014 00:00 PST,56.44,56.71,35.34,1.12,0.0,0.0
01/02/2014 00:15 PST,57.99,58.5,31.8,0.0,0.0,0.0
01/02/2014 00:30 PST,57.7,58.26,33.39,0.0,0.0,0.0
01/02/2014 00:45 PST,57.76,58.37,32.5,0.0,0.0,0.0
01/02/2014 01:00 PST,57.6,58.33,32.39,0.0,0.0,0.0
01/02/2014 01:15 PST,57.43,58.23,31.46,0.0,0.0,0.0
01/02/2014 01:30 PST,57.31,58.68,30.17,0.0,0.0,0.0
01/02/2014 01:45 PST,57.97,58.35,29.02,0.0,0.0,0.0
01/02/2014 02:00 PST,57.97,58.41,28.98,0.0,0.0,0.0
01/02/2014 02:15 PST,57.7,58.46,29.52,0.0,0.0,0.0
01/02/2014 02:30 PST,57.2,58.71,29.79,0.13,0.0,0.0
01/02/2014 02:45 PST,57.07,57.76,30.24,0.04,0.0,0.0
01/02/2014 03:00 PST,56.86,57.63,30.44,0.04,0.0,0.0
01/02/2014 03:15 PST,58.23,59.7,28.26,1.48,0.0,0.0
01/02/2014 03:30 PST,58.17,59.05,28.77,0.29,0.0,0.0
01/02/2014 03:45 PST,56.88,57.22,32.21,0.51,0.0,0.0
01/02/2014 04:00 PST,55.85,56.35,32.85,0.11,0.0,0.0
01/02/2014 04:15 PST,56.48,56.88,32.56,0.0,0.0,0.0
01/02/2014 04:30 PST,56.41,56.77,32.26,0.04,0.0,0.0
01/02/2014 04:45 PST,56.25,57.11,30.73,0.0,0.0,0.0
01/02/2014 05:00 PST,55.38,56.44,31.35,0.09,0.0,0.0
01/02/2014 05:15 PST,53.82,54.45,34.26,0.02,0.0,0.0
01/02/2014 05:30 PST,52.61,53.35,35.94,0.0,0.0,0.0
01/02/2014 05:45 PST,54.12,54.7,32.83,0.09,0.0,0.0
01/02/2014 06:00 PST,53.64,54.21,33.83,0.04,0.0,0.0
01/02/2014 06:15 PST,53.6,54.34,33.57,0.47,0.0,0.0
01/02/2014 06:30 PST,53.67,54.54,33.74,0.27,0.0,0.0
01/02/2014 06:45 PST,53.76,54.36,33.81,1.01,0.0,0.0
01/02/2014 07:00 PST,54.0,54.73,33.24,0.18,0.0,0.0
01/02/2014 07:15 PST,53.29,53.83,34.67,0.92,0.0,0.66
01/02/2014 07:30 PST,53.04,53.56,34.72,1.28,0.0,4.6
01/02/2014 07:45 PST,53.46,53.71,33.86,0.49,0.0,10.95
01/02/2014 08:00 PST,53.37,53.67,33.95,0.6,0.0,32.95
01/02/2014 08:15 PST,53.04,53.35,35.16,0.58,0.0,81.1
01/02/2014 08:30 PST,49.95,50.34,45.82,0.6,0.0,117.4
01/02/2014 08:45 PST,49.75,50.2,48.3,0.27,0.0,150.5
01/02/2014 09:00 PST,50.79,51.24,46.17,0.2,0.0,191.6
01/02/2014 09:15 PST,50.81,51.08,45.98,0.83,0.0,223.7
01/02/2014 09:30 PST,51.48,51.76,44.19,0.25,0.0,256.5
01/02/2014 09:45 PST,51.82,51.93,44.3,0.54,0.0,289.3
01/02/2014 10:00 PST,52.0,51.94,46.04,0.02,0.0,327.2
01/02/2014 10:15 PST,52.75,52.63,44.28,0.09,0.0,353.3
01/02/2014 10:30 PST,53.35,53.17,45.78,0.16,0.0,375.4
01/02/2014 10:45 PST,53.71,53.47,45.55,0.16,0.0,397.3
01/02/2014 11:00 PST,54.45,54.32,44.39,0.18,0.0,418.8
01/02/2014 11:15 PST,55.44,55.44,43.46,0.13,0.0,448.9
01/02/2014 11:30 PST,56.43,56.03,42.69,0.51,0.0,465.1
01/02/2014 11:45 PST,57.25,56.77,40.49,0.18,0.0,469.9
01/02/2014 12:00 PST,57.72,57.4,38.55,0.2,0.0,451.8
01/02/2014 12:15 PST,58.66,58.44,35.61,0.02,0.0,457.8
01/02/2014 12:30 PST,59.97,59.68,34.23,0.36,0.0,401.8
01/02/2014 12:45 PST,59.31,59.14,34.36,0.34,0.0,329.2
01/02/2014 13:00 PST,60.67,60.21,32.88,0.49,0.0,527.8
01/02/2014 13:15 PST,61.5,61.05,32.25,0.49,0.0,511.2
01/02/2014 13:30 PST,62.44,62.06,31.18,0.07,0.0,476.4
01/02/2014 13:45 PST,63.1,62.98,30.34,0.09,0.0,433.6
01/02/2014 14:00 PST,64.38,64.02,29.44,0.18,0.0,384.7
01/02/2014 14:15 PST,64.24,63.84,29.33,0.25,0.0,338.4
01/02/2014 14:30 PST,64.38,63.97,28.84,0.27,0.0,321.1
01/02/2014 14:45 PST,64.2,63.72,29.76,0.27,0.0,254.0
01/02/2014 15:00 PST,63.14,62.89,31.51,0.22,0.0,121.9
01/02/2014 15:15 PST,62.33,62.11,32.3,0.09,0.0,200.7
01/02/2014 15:30 PST,63.52,63.0,30.97,0.43,0.0,240.1
01/02/2014 15:45 PST,62.73,62.46,32.27,0.31,0.0,178.6
01/02/2014 16:00 PST,62.76,62.4,31.7,0.22,0.0,150.3
01/02/2014 16:15 PST,62.22,62.13,31.73,0.13,0.0,93.9
01/02/2014 16:30 PST,61.79,61.81,32.94,0.02,0.0,48.03
01/02/2014 16:45 PST,60.96,61.0,34.19,0.07,0.0,16.29
01/02/2014 17:00 PST,60.91,61.18,32.64,0.22,0.0,7.09
01/02/2014 17:15 PST,60.51,60.76,33.3,0.4,0.0,1.63
01/02/2014 17:30 PST,59.81,60.06,34.91,0.09,0.0,0.18
01/02/2014 17:45 PST,59.68,60.1,33.95,0.51,0.0,0.0
